REGENSBURG,0-20000-0-10776|primary,49.042482,12.101943
ROTH,0-20000-0-10765|primary,49.216232,11.103514
SCHLEIZ,0-20000-0-10564|primary,50.567906,11.804085
SCHMUECKE,0-20000-0-10552|primary,50.654518,10.769601
STRAUBING,0-20000-0-10788|primary,48.827504,12.559695
WALDMUENCHEN,0-20000-0-10782|primary,49.390952,12.683802
WEIDEN/OBERPFALZ,0-20000-0-10688|primary,49.666221,12.184448
WEISSENBURG-EMETZHEIM,0-20000-0-10761|primary,49.01153,10.930837
WUNSIEDEL-SCHOENBRUNN,0-20000-0-10686|primary,50.031507,11.974501
ZINNWALD-GEORGENFELD,0-20000-0-10582|primary,50.731347,13.751612
ZWIESEL,0-20000-0-10796|primary,49.028013,13.238509
JELENIA GORA,0-20000-0-12500|primary,50.9002777778,15.7888888889
KLODZKO,0-20000-0-12520|primary,50.4369444444,16.6141666667
LEGNICA,0-20000-0-12415|primary,51.1930555556,16.2075
OPOLE,0-20000-0-12530|primary,50.6269444444,17.9688888889
RACIBORZ,0-20000-0-12540|primary,50.0616666667,18.1916666667
RADAR Pastewnik,0-20000-0-12554|primary,50.8925,16.0394444444
RADAR Ramża,0-20000-0-12514|primary,50.1513888889,18.725
SNIEZKA,0-20000-0-12510|primary,50.7361111111,15.7394444444
WIELUN,0-20000-0-12455|primary,51.2111111111,18.5577777778
WROCLAW II,0-20000-0-12424|primary,51.1033333333,16.9
WROCLAW-STARACHOWICE,0-20000-0-12425|primary,51.1130555556,16.8811111111
PIESTANY,0-20000-0-11826|primary,48.6166666667,17.8333333333
PRIEVIDZA,0-20000-0-11867|primary,48.7666666667,18.6
ZILINA/HRICOV,0-20000-0-11841|primary,49.2325,18.6142
